,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,Santa Rosa,40,PH,1616307467,55,14.3122,121.1114,91.99,11.5
163,Pisco,0,PE,1616307710,73,-13.7,-76.2167,68.0,12.66
164,Saskylakh,35,RU,1616307710,94,71.9167,114.0833,-27.22,8.34
165,Mandan,1,US,1616307707,56,46.8267,-100.8896,46.4,12.66
166,Kafanchan,94,NG,1616307711,71,9.5833,8.3,69.33,1.72
167,Butte,20,US,1616307712,66,39.6499,-121.5677,48.2,6.08
168,Morondava,17,MG,1616307712,75,-20.2833,44.2833,81.68,4.14
169,Sorong,92,ID,1616307713,77,-0.8833,131.25,82.76,7.87
170,West Des Moines,75,US,1616307645,57,41.572,-93.7453,46.99,14.97
171,Khāsh,0,IR,1616307714,22,28.2211,61.2158,69.21,7.65
172,Banjar,20,ID,1616307714,70,-8.19,114.9675,87.8,10.36
173,Yangi Marg`ilon,100,UZ,1616307714,62,40.4272,71.7189,57.2,9.22
174,Hobyo,27,SO,1616307715,64,5.3505,48.5268,82.49,16.44
175,Lahat,99,ID,1616307716,56,-3.8,103.5333,90.88,3.91
176,Karratha,0,AU,1616307716,29,-20.7377,116.8463,91.81,17.11
177,Olenegorsk,100,RU,1616307716,95,68.15,33.3,23.49,1.45
178,Chiang Khong,0,TH,1616307717,99,20.2613,100.4046,88.0,5.35
179,Caohai,100,CN,1616307718,67,26.8661,104.2841,37.24,8.86
180,Kulykiv,4,UA,1616307719,64,50.3142,24.8176,33.01,8.01
181,Maxixe,20,MZ,1616307719,94,-23.8597,35.3472,77.0,4.03
182,Kathmandu,40,NP,1616307448,29,27.7167,85.3167,77.0,3.44
183,Verāval,0,IN,1616307720,43,20.9,70.3667,88.18,4.52
184,Westport,1,US,1616307721,80,41.1415,-73.3579,37.99,4.23
185,Shalya,100,RU,1616307606,89,57.2471,58.7298,20.16,9.19
186,Campbell River,100,CA,1616307721,73,50.0163,-125.2446,39.0,3.8
187,Saint-Philippe,0,RE,1616307722,74,-21.3585,55.7679,84.2,18.41
188,Klaksvík,75,FO,1616307722,93,62.2266,-6.589,41.0,16.11
